Title,WordsRemoved,WordsAdded,DiffWordsAverage,DiffPopularity,DiffAcousticness,DiffDanceability,DiffEnergy,DiffInstrumentalness,DiffLiveness,DiffLoudness,DiffSpeechiness,DiffValence,DiffTempo,DiffSwearCount,DiffSentimentAverage,DiffSwearlessSentimentAverage
1985,['ass'],[],15.5,58,-0.012358000000000001,-0.10699999999999998,0.21799999999999997,0.0,-0.04099999999999998,3.933,0.0216,0.15500000000000003,-0.15200000000001523,1,-0.02000581564408258,0.0009354263497909944
One Thing,"['hate', 'restless', 'wasted']","['feeling', 'hoping', 'like']",58.5,49,-0.1939999999999999,0.0119999999999999,0.08300000000000007,0.0,-0.04239999999999999,2.075000000000001,-0.013700000000000004,0.11199999999999999,76.01299999999999,0,-0.10811770674784373,-0.10811770674784373
Just A Friend (2002),"['fight', 'stop']","['better', 'love', 'top', 'true', 'yeah']",76.5,55,-0.58759,0.010999999999999899,0.07700000000000007,0.0,-0.169,5.454000000000001,0.0978,-0.05600000000000005,37.218,0,-0.06560498528648084,-0.06560498528648084
22,[],[],3.5,23,-0.00589,0.0020000000000000018,0.016000000000000125,0.0013,-0.012499999999999997,0.6519999999999992,-0.004400000000000001,-0.16200000000000003,-0.018999999999991246,0,0.018707055471761352,0.018707055471761352
4 Minutes,['hell'],['heaven'],16.5,60,-0.009259999999999997,0.06099999999999994,0.12199999999999989,0.006936899999999999,-0.271,1.803,0.0012999999999999956,0.19800000000000006,-0.023000000000010346,0,-0.0721136585115659,-0.0721136585115659
7 Rings,"['ass', 'bad', 'bitch', 'bitches', 'sad', 'shit']",['dream'],14.5,43,-0.20699999999999996,-0.05900000000000005,-0.14200000000000002,0.0,-0.009300000000000003,-2.0200000000000014,0.10399999999999995,-0.198,-0.08099999999998886,4,-0.09560860228439827,-0.02058498023715416
7 Things,[],[],5.5,54,-0.008600000000000003,-0.030000000000000027,0.2270000000000001,0.0,-0.013999999999999999,2.7140000000000004,-0.005700000000000004,0.11100000000000004,-0.017000000000010118,0,-0.01697979439914924,-0.01697979439914924
7 Years,[],['slicker'],10.5,47,0.06299999999999997,0.040999999999999925,-0.06499999999999995,0.0,-0.0030000000000000027,-0.7050000000000001,0.012500000000000004,-0.10799999999999998,-0.08299999999999841,0,-0.022302472320330176,-0.022302472320330176
ABC,[],['dear'],7.5,49,0.22999999999999998,-0.10099999999999998,0.04899999999999993,0.000192,-0.10700000000000001,-2.6310000000000002,0.007800000000000001,-0.0129999999999999,1.7489999999999952,0,-0.004043399150886168,-0.004043399150886168
Accidentally In Love,['escaping'],[],8.0,48,-0.141,-0.04500000000000004,0.123,3.32e-06,-0.1844,3.8160000000000016,0.0011999999999999997,0.135,0.002999999999985903,0,-0.02125711669956798,-0.02125711669956798
Ain't It Fun,['fool'],[],5.0,51,0.1427,0.06399999999999995,-0.03200000000000003,4.41e-05,-0.305,-2.217,0.002700000000000008,0.061999999999999944,-0.003999999999990678,0,-0.16041534702741836,-0.16041534702741836
Airplanes,"['hell', 'shit']",[],7.0,55,0.0471,-0.05900000000000005,0.031000000000000028,-1.29e-06,-0.0276,1.9909999999999997,0.05419999999999999,-0.42399999999999993,0.0759999999999934,1,0.0017993702204228412,0.017082311153921392
Alejandro,['stop'],"['friend', 'want']",16.5,48,-0.034842000000000005,-0.0050000000000000044,0.016000000000000125,0.00155,0.05299999999999999,0.19399999999999995,0.0191,-0.44800000000000006,-0.013999999999995794,0,0.04868991128533112,0.04868991128533112
Alive,"['alone', 'sorry', 'wrong']","['best', 'granted', 'love', 'matter', 'peace', 'sunshine', 'thankful', 'trust']",62.0,68,-0.07818,-0.2,0.10199999999999998,0.00046100000000000004,0.313,0.8259999999999996,-0.04429999999999999,0.21199999999999997,-5.4609999999999985,0,0.06946386946386948,0.06946386946386948
All About That Bass,"['bitches', 'shit']",[],11.0,14,0.66,-0.243,-0.4590000000000001,1.21e-06,-0.137,-4.807,-0.016,-0.356,-12.494,2,0.011925509624610794,0.052073250232117105
All I Want For Christmas Is You,[],['merry'],3.5,49,0.16138999999999998,-0.11499999999999999,-0.30100000000000005,0.0,-0.2312,-6.084000000000001,-0.0024999999999999953,0.049000000000000044,0.23300000000008936,0,-0.012083225639700157,-0.012083225639700157
